Taxon,Specimen,Genus,SR,Energy,RFI,OPC
Aotus_azare,ao25,Aotus,2.61,130.12,1.85,56.75
Aotus_azare,ao28,Aotus,2.79,137.63,1.84,59.13
Aotus_azare,ao35,Aotus,2.91,144.01,1.82,47.5
Aotus_azare,ao36,Aotus,2.84,140.75,1.89,52.38
Aotus_nigriceps,ai01,Aotus,2.77,134.13,1.74,50.75
Aotus_nigriceps,ai02,Aotus,2.78,125.4,1.77,51.75
Aotus_nigriceps,ai03,Aotus,2.7,125.08,1.72,52.13
Aotus_nigriceps,ai04,Aotus,3.18,,1.77,57.63
Aotus_nigriceps,ai05,Aotus,2.7,139.28,1.76,53.88
Aotus_nigriceps,ai06,Aotus,2.87,143.37,1.83,50.88
Aotus_nigriceps,ai07,Aotus,2.91,141.2,1.82,53
Aotus_nigriceps,ai08,Aotus,3.01,140.55,1.77,55.75
Aotus_nigriceps,ao29,Aotus,2.67,155.67,1.8,61.38
Aotus_nigriceps,ao30,Aotus,2.76,135.07,1.78,58.63
Aotus_nigriceps,ao31,Aotus,2.76,152.23,1.84,58.5
Aotus_nigriceps,ao32,Aotus,2.74,127.69,1.8,54.63
Aotus_nigriceps,ao33,Aotus,2.87,143.78,1.81,54.63
Aotus_nigriceps,ao34,Aotus,2.7,112.84,1.76,51.38
Callicebus_donacophilus,am27,Callicebus,2.6,154.37,1.72,60.5
Callicebus_donacophilus,am28,Callicebus,2.6,212.32,1.82,80.25
Callicebus_donacophilus,am36,Callicebus,2.92,184.93,1.81,66.88
Callicebus_moloch,am34,Callicebus,2.78,153.6,1.78,56.75
Callicebus_moloch,ao07,Callicebus,2.67,126.64,1.71,69
Callicebus_moloch,ao12,Callicebus,2.55,154.55,1.75,68.13
Callicebus_moloch,ao18,Callicebus,2.96,178.35,1.83,71.5
Callicebus_moloch,ao19,Callicebus,2.94,165.35,1.88,72.5
Callicebus_moloch,ao20,Callicebus,2.83,138.53,1.82,62
Callicebus_moloch,ao21,Callicebus,2.73,120.16,1.76,57
Callicebus_moloch,ao22,Callicebus,2.59,138.92,1.69,58.75
Callicebus_moloch,ao23,Callicebus,2.71,137.76,1.73,68.5
Callicebus_torquatus,ai09,Callicebus,2.61,164.18,1.79,80.63
Callicebus_torquatus,ai10,Callicebus,2.73,151.87,1.75,74.88
Callicebus_torquatus,ai11,Callicebus,2.88,188.67,1.76,72
Callicebus_torquatus,ai12,Callicebus,2.87,161.51,1.74,72.63
Callicebus_torquatus,ai13,Callicebus,2.61,151.84,1.8,72.13
Callicebus_torquatus,ai14,Callicebus,2.69,159.51,1.8,67.13
Callicebus_torquatus,am19,Callicebus,2.6,148.04,1.79,62.25
Callicebus_torquatus,am20,Callicebus,2.8,140.23,1.76,68.75
Callicebus_torquatus,am21,Callicebus,2.88,154.66,1.81,75.88
Pithecia_monachus,ai29,Pithecia,2.58,132.91,1.71,67.13
Pithecia_monachus,ai30,Pithecia,2.55,126.93,1.74,90.38
Pithecia_monachus,ai31,Pithecia,2.44,127.65,1.73,76.88
Pithecia_monachus,ai32,Pithecia,2.45,134.15,1.73,79.63
Pithecia_monachus,ai33,Pithecia,2.33,102.9,1.67,71
Pithecia_monachus,ai34,Pithecia,2.35,123.06,1.71,79.5
Pithecia_monachus,am04,Pithecia,2.19,127.27,1.68,69
Pithecia_monachus,am05,Pithecia,2.46,112.61,1.76,91.63
Pithecia_pithecia,am13,Pithecia,2.37,99.34,1.69,91.75
Pithecia_pithecia,am14,Pithecia,2.65,129.31,1.75,97.63
Pithecia_pithecia,am15,Pithecia,2.5,107.29,1.7,80.25
Pithecia_pithecia,am16,Pithecia,2.5,115.79,1.72,103.5
Pithecia_pithecia,am17,Pithecia,2.5,106.24,1.7,85.25
Pithecia_pithecia,am18,Pithecia,2.58,108.53,1.73,102.25
Chiropotes_albinasus,am29,Chiropotes,2.8,111.55,1.71,72.75
Chiropotes_albinasus,am30,Chiropotes,2.76,146.38,1.77,91.88
Chiropotes_albinasus,am31,Chiropotes,2.71,125,1.67,73.5
Chiropotes_albinasus,am32,Chiropotes,2.53,113.07,1.68,73.63
Chiropotes_albinasus,am35,Chiropotes,2.43,125.72,1.78,88.5
Chiropotes_albinasus,ao09,Chiropotes,2.55,109.45,1.72,94.63
Chiropotes_satanas,am22,Chiropotes,2.59,120.87,1.75,84.75
Chiropotes_satanas,am23,Chiropotes,2.61,135.71,1.73,94.13
Chiropotes_satanas,am24,Chiropotes,2.59,148.13,1.75,84.75
Chiropotes_satanas,am25,Chiropotes,2.57,124.1,1.71,89.13
Chiropotes_satanas,am26,Chiropotes,2.45,126.72,1.73,62.63
Cacajao_calvus,am06,Cacajao,2.55,119.53,1.69,66.13
Cacajao_calvus,am07,Cacajao,2.65,108.37,1.68,56.88
Cacajao_calvus,am08,Cacajao,2.56,120.12,1.7,72.38
Cacajao_calvus,am09,Cacajao,2.59,118.24,1.72,68.5
Cacajao_calvus,am33,Cacajao,2.77,145.17,1.74,75.5
Cacajao_calvus,ao11,Cacajao,2.57,105.71,1.73,88.75
Cacajao_calvus,ao13,Cacajao,2.72,121.76,1.76,70.5
Cacajao_melanocephalus,am10,Cacajao,2.79,114.47,1.74,59.13
Cacajao_melanocephalus,am11,Cacajao,2.54,141.46,1.68,87.88
Cacajao_melanocephalus,am12,Cacajao,2.68,115.73,1.74,78.5
Cacajao_melanocephalus,ao10,Cacajao,2.44,134.38,1.77,71
